Data,Nie zindeksowano,Zindeksowano,Wyświetlenia
2026-05-15,12,5,58
2026-05-16,13,4,36
2026-05-17,13,4,50
2026-05-18,13,4,57
2026-05-19,13,4,49
2026-05-20,13,4,53
2026-05-21,13,4,38
2026-05-22,13,4,51
2026-05-23,13,4,53
2026-05-24,13,4,85
2026-05-25,13,4,64
2026-05-26,12,4,58
2026-05-27,12,4,58
2026-05-28,12,4,46
2026-05-29,12,4,79
2026-05-30,12,4,51
2026-05-31,12,4,45
2026-06-01,12,4,49
2026-06-02,14,4,47
2026-06-03,14,4,75
2026-06-04,14,4,75
2026-06-05,14,4,58
2026-06-06,14,4,43
2026-06-07,14,4,77
2026-06-08,14,4,105
2026-06-09,14,4,98
2026-06-10,14,4,93
2026-06-11,14,4,104
2026-06-12,14,4,44
2026-06-13,16,6,58
2026-06-14,16,6,52
2026-06-15,16,6,357
2026-06-16,16,6,474
2026-06-17,16,6,1215
2026-06-18,16,6,2750
2026-06-19,16,6,76
2026-06-20,16,6,94
2026-06-21,16,6,74
2026-06-22,16,6,1232
2026-06-23,16,6,149
2026-06-24,16,6,84
2026-06-25,16,6,81
2026-06-26,16,6,187
2026-06-27,16,6,253
2026-06-28,16,6,735
2026-06-29,16,6,723
2026-06-30,16,6,132
2026-07-01,17,5,130
2026-07-02,17,5,104
2026-07-03,17,5,143
2026-07-04,17,5,1183
2026-07-05,17,5,429
2026-07-06,17,5,144
2026-07-07,17,5,127
2026-07-08,17,5,227
2026-07-09,17,5,204
2026-07-10,17,5,127
2026-07-11,17,5,75
2026-07-12,17,5,83
2026-07-13,17,5,91
2026-07-14,17,5,108
2026-07-15,17,5,106
2026-07-16,17,5,114
2026-07-17,17,5,95
2026-07-18,17,5,98
2026-07-19,17,5,98
2026-07-20,17,5,135
2026-07-21,17,5,151
2026-07-22,17,5,148
2026-07-23,17,5,137
2026-07-24,17,5,143
2026-07-25,18,6,104
2026-07-26,18,6,121
2026-07-27,18,6,147
2026-07-28,18,6,124
2026-07-29,18,6,116
2026-07-30,18,6,144
2026-07-31,18,6,159
2026-08-01,18,6,92
2026-08-02,18,6,158
2026-08-03,18,6,154
2026-08-04,18,6,208
2026-08-05,18,6,155
2026-08-06,18,6,154
2026-08-07,18,6,106
