Kraj,Kliknięcia,Wyświetlenia,CTR,Pozycja
Polska,761,14011,5.43%,7.79
Niemcy,387,1641,23.58%,3.13
Stany Zjednoczone,59,533,11.07%,5.17
Austria,19,95,20%,2.59
Szwajcaria,19,92,20.65%,2.99
Wielka Brytania,6,140,4.29%,7.12
Włochy,6,48,12.5%,4.21
Indie,5,64,7.81%,8.86
Kanada,5,56,8.93%,5.23
Czechy,5,27,18.52%,4.81
Republika Południowej Afryki,5,26,19.23%,4.35
Hiszpania,5,26,19.23%,6.15
Grecja,5,21,23.81%,3.71
Lichtenstein,5,7,71.43%,3.14
Holandia,4,66,6.06%,4.08
Australia,4,48,8.33%,6.44
Filipiny,4,40,10%,7.17
Brazylia,4,22,18.18%,5.59
Malezja,3,35,8.57%,6.83
Izrael,3,30,10%,6.6
Uganda,3,20,15%,2.5
Belgia,3,9,33.33%,5.89
Szwecja,2,27,7.41%,8.04
Kenia,2,25,8%,5.36
Korea Południowa,2,16,12.5%,5.5
Francja,2,14,14.29%,6.79
Norwegia,2,12,16.67%,4.83
Argentyna,2,11,18.18%,3.09
Słowacja,2,10,20%,5.9
Myanmar (Birma),2,10,20%,6.3
Urugwaj,2,9,22.22%,2.33
Bośnia i Hercegowina,2,3,66.67%,4.33
Estonia,2,2,100%,3.5
Indonezja,1,39,2.56%,11.15
Wietnam,1,30,3.33%,17.13
Turcja,1,29,3.45%,7.17
Nigeria,1,28,3.57%,5.32
Ukraina,1,26,3.85%,9.54
Portugalia,1,22,4.55%,3.27
Arabia Saudyjska,1,16,6.25%,8.75
Bułgaria,1,13,7.69%,3.15
Chorwacja,1,13,7.69%,8.46
Maroko,1,10,10%,5.1
Armenia,1,8,12.5%,3
Dania,1,6,16.67%,3
Litwa,1,6,16.67%,3.67
Łotwa,1,6,16.67%,6.5
Finlandia,1,5,20%,3.2
Nikaragua,1,3,33.33%,1.33
Tanzania,1,3,33.33%,4.67
Katar,1,3,33.33%,5.33
Honduras,1,3,33.33%,18.33
Sudan,1,2,50%,2
Cypr,1,2,50%,2.5
Kuwejt,1,2,50%,3.5
Bermudy,1,1,100%,1
Antigua i Barbuda,1,1,100%,3
Kolumbia,1,1,100%,3
Mauritius,1,1,100%,3
Zambia,1,1,100%,3
Suazi,1,1,100%,4
Rosja,0,23,0%,13.43
Pakistan,0,20,0%,7.8
Tajlandia,0,17,0%,15.94
Zjednoczone Emiraty Arabskie,0,13,0%,4.62
Egipt,0,11,0%,4.64
Irlandia,0,10,0%,4.3
Bangladesz,0,10,0%,11.9
Meksyk,0,10,0%,12.6
Nepal,0,9,0%,4.33
Singapur,0,9,0%,5.67
Ghana,0,8,0%,3.88
Serbia,0,8,0%,4.88
Słowenia,0,8,0%,5
Nowa Zelandia,0,8,0%,5.38
Japonia,0,7,0%,4.29
Sri Lanka,0,7,0%,4.43
Węgry,0,7,0%,5
Mołdawia,0,7,0%,7.71
Jordania,0,6,0%,6.5
Algieria,0,6,0%,16
Macedonia,0,5,0%,6
Chile,0,4,0%,2.75
Kazachstan,0,4,0%,4
Chiny,0,3,0%,4
Rumunia,0,3,0%,7
Hongkong,0,3,0%,15.33
Irak,0,3,0%,25
Botswana,0,2,0%,2.5
Kambodża,0,2,0%,3.5
Dominikana,0,2,0%,4.5
Uzbekistan,0,2,0%,5.5
Albania,0,2,0%,8.5
Etiopia,0,2,0%,9
Iran,0,2,0%,9
Peru,0,2,0%,10.5
Czarnogóra,0,1,0%,1
Benin,0,1,0%,2
Bahrajn,0,1,0%,2
Boliwia,0,1,0%,2
Ekwador,0,1,0%,2
Islandia,0,1,0%,2
Namibia,0,1,0%,3
Białoruś,0,1,0%,4
Kirgistan,0,1,0%,4
Madagaskar,0,1,0%,4
Tunezja,0,1,0%,4
Tajwan,0,1,0%,5
Azerbejdżan,0,1,0%,6
Brytyjskie Terytorium Oceanu Indyjskiego,0,1,0%,6
Libia,0,1,0%,6
Papua-Nowa Gwinea,0,1,0%,6
Somalia,0,1,0%,6
Palestyna,0,1,0%,8
Malta,0,1,0%,10
Ruanda,0,1,0%,10
Malediwy,0,1,0%,11
Laos,0,1,0%,19
