Data,Kliknięcia,Wyświetlenia,CTR,Pozycja
2026-05-12,18,63,28.57%,1.5
2026-05-13,23,82,28.05%,3.3
2026-05-14,14,54,25.93%,1.7
2026-05-15,13,58,22.41%,2.6
2026-05-16,8,36,22.22%,2
2026-05-17,10,50,20%,2.4
2026-05-18,8,57,14.04%,2.7
2026-05-19,11,49,22.45%,3.2
2026-05-20,6,53,11.32%,4
2026-05-21,11,38,28.95%,3.6
2026-05-22,10,51,19.61%,4.3
2026-05-23,10,53,18.87%,5.4
2026-05-24,8,85,9.41%,4.8
2026-05-25,5,64,7.81%,6.4
2026-05-26,14,58,24.14%,3.8
2026-05-27,11,58,18.97%,3.2
2026-05-28,14,46,30.43%,2.8
2026-05-29,11,79,13.92%,5.1
2026-05-30,9,51,17.65%,3.4
2026-05-31,7,45,15.56%,3.2
2026-06-01,7,49,14.29%,3.3
2026-06-02,7,47,14.89%,5.4
2026-06-03,10,75,13.33%,3.4
2026-06-04,15,75,20%,6.6
2026-06-05,1,58,1.72%,5.7
2026-06-06,8,43,18.6%,6.2
2026-06-07,6,77,7.79%,6.2
2026-06-08,21,105,20%,4.5
2026-06-09,11,98,11.22%,4.8
2026-06-10,7,93,7.53%,6
2026-06-11,12,104,11.54%,5.4
2026-06-12,7,44,15.91%,5.4
2026-06-13,13,58,22.41%,5.1
2026-06-14,8,52,15.38%,3.6
2026-06-15,10,357,2.8%,7.9
2026-06-16,15,474,3.16%,8.4
2026-06-17,7,1215,0.58%,9
2026-06-18,11,2750,0.4%,9.1
2026-06-19,11,76,14.47%,4.9
2026-06-20,11,94,11.7%,5.6
2026-06-21,7,74,9.46%,6.8
2026-06-22,12,1232,0.97%,8.9
2026-06-23,4,149,2.68%,7.8
2026-06-24,8,84,9.52%,7.3
2026-06-25,4,81,4.94%,6
2026-06-26,12,187,6.42%,8.2
2026-06-27,7,253,2.77%,8.8
2026-06-28,12,735,1.63%,9
2026-06-29,17,723,2.35%,9
2026-06-30,14,132,10.61%,6.1
2026-07-01,9,130,6.92%,6.8
2026-07-02,8,104,7.69%,7
2026-07-03,11,143,7.69%,6.5
2026-07-04,9,1183,0.76%,9.2
2026-07-05,11,429,2.56%,8.5
2026-07-06,20,144,13.89%,5.5
2026-07-07,12,127,9.45%,5.4
2026-07-08,45,227,19.82%,4
2026-07-09,39,204,19.12%,4.1
2026-07-10,25,127,19.69%,4
2026-07-11,18,75,24%,5
2026-07-12,10,83,12.05%,4.5
2026-07-13,13,91,14.29%,3.7
2026-07-14,29,108,26.85%,3.8
2026-07-15,15,106,14.15%,4.4
2026-07-16,24,114,21.05%,3.8
2026-07-17,21,95,22.11%,4.3
2026-07-18,15,98,15.31%,3.7
2026-07-19,15,98,15.31%,5.1
2026-07-20,17,135,12.59%,5.2
2026-07-21,35,151,23.18%,4.3
2026-07-22,13,148,8.78%,6.1
2026-07-23,20,137,14.6%,4.9
2026-07-24,32,143,22.38%,5.4
2026-07-25,7,104,6.73%,7
2026-07-26,22,121,18.18%,4.6
2026-07-27,20,147,13.61%,4.9
2026-07-28,23,124,18.55%,6.4
2026-07-29,15,116,12.93%,5.9
2026-07-30,21,144,14.58%,5.7
2026-07-31,20,159,12.58%,4.7
2026-08-01,9,92,9.78%,6.9
2026-08-02,26,158,16.46%,5.1
2026-08-03,22,154,14.29%,5.8
2026-08-04,23,208,11.06%,5
2026-08-05,25,155,16.13%,5.1
2026-08-06,31,154,20.13%,7
2026-08-07,18,106,16.98%,6.2
2026-08-08,27,115,23.48%,4.9
2026-08-09,29,202,14.36%,5.5
2026-08-10,19,173,10.98%,4.7
2026-08-11,31,188,16.49%,6.1
